Song Name,Song ID,Genres,Year,Main Genres
Fly With Me,1uCnwV9ABsYkNJmrpQOR1H,"['boy band', 'pop']",2009,Pop Music
(sic),2xLMifQCjDGFmkHkpNLD9h,"['hip hop', 'rap', 'slap house']",2009,Hip hop Music
Hearing Damage,1fTtPH0xGwFOXM5VlkxOX1,"['alternative rock', 'art pop', 'art rock', 'electronica', 'glitch pop', 'indie rock', 'oxford indie']",2009,"Electronic Music, Pop Music, Rock Music"
The Nasty Song,2OEKdLpIhPT11FR746kOoQ,"['atl hip hop', 'south carolina hip hop']",2009,Hip hop Music
Volveré,350kyj3PwTFlQMOpWzRd3O,"['latin pop', 'ranchera']",2009,Pop Music
Money To Blow - Street Version,4gaz3uvhKgO078XcdzyPsl,"['dirty south rap', 'southern hip hop']",2009,Hip hop Music
The Man I Want to Be,5zMRkxgFscsPItPsMy4ItS,"['contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
I Invented Sex (feat. Drake),1Ug1mV9h5qVSs4rvvnQWux,"['dance pop', 'r&b', 'southern hip hop', 'trap', 'urban contemporary']",2009,"Hip hop Music, Pop Music"
Crawl,57BrRMwf9LrcmuOsyGilwr,"['alternative metal', 'nu metal', 'post-grunge', 'rap metal', 'rock']",2009,"Metal Music, Rock Music"
La Peinada (La Peinadita),1Lp14SCjlGEvGSC4uDwrpD,"['banda', 'musica mexicana']",2009,
Hoedown Throwdown,6ntkwU1MhehTKgx4BWxX3f,['pop'],2009,Pop Music
Texas Kind of Way,5EDt7cxNUAVK0QlGjPo1dZ,"['classic texas country', 'contemporary country']",2009,Country Music
You & Me,2BLlpdGCv0IErmH3OBGHYJ,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock']",2009,"Country Music, Rock Music"
Vogue,27QvYgBk0CHOVHthWnkuWt,"['dance pop', 'pop']",2009,Pop Music
Voices,5XUuldRjPXcP5QxyEN4IXT,"['alternative metal', 'pop punk', 'rap metal']",2009,"Metal Music, Pop Music"
3,5cc9Zbfp9u10sfJeKZ3h16,"['atl hip hop', 'hip hop', 'rap']",2009,Hip hop Music
Te Amo,2r69ZhXm40bzjGIPdRvaqk,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",2009,
Dream Girl,3Z6cltU0OfbUdSZtZlzKPL,"['aesthetic rap', 'bedroom pop']",2009,Pop Music
Stay - Rerecorded,4jtxk24eyUY3F9y3ucjxe0,[],2009,
