Song Name,Song ID,Genres
True - Single Edit,0CsM8VGDi38kusMv3pxyj1,"new romantic, new wave, new wave pop, sophisti-pop, synthpop"
What You Got,3MldzywZOH4Uci6bq9noyJ,
La Noche Perfecta,25p1jEwtuplwNIbZkoW5Kv,"banda, musica mexicana, norteno"
"OK, It's Alright with Me",0sKAZF2T0hD3SfEr0U0rqX,"acoustic pop, neo mellow"
Need U Bad,0Ri0LzOMJmqi9HGZE5cRYV,"hip pop, neo soul, r&b, urban contemporary"
Life is Beautiful,5rYpwP1dHWGVMrSZbTmt3e,"cloud rap, emo rap, lgbtq+ hip hop"
Lollipop,4P7VFiaZb3xrXoqGwZXC3J,"hip hop, new orleans rap, pop rap, rap, trap"
The Day That Never Comes,2gqzkEF88vMclfRZEIOnQO,"hard rock, metal, old school thrash, rock, thrash metal"
Bob,1QqkJ0wC13fHJHrcPOGcyv,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
This Afternoon,1RG8MABX0VciDk6WYb8pBv,"alternative metal, canadian rock, post-grunge"
Pose,7MmVXDISr1AEsJTjNiAlMG,"latin hip hop, reggaeton, trap latino, urbano latino"
Dawn of Time,445qQk3nyQwmjf4vzDghKd,"reggae rock, west coast reggae"
Slipping Through My Fingers - From 'Mamma Mia!' Original Motion Picture Soundtrack,1QRKeAlaLqJUeCWMBRP20A,"hollywood, show tunes"
Not Meant to Be,5xyACR2lzIyzFepF4qlAas,"alternative metal, canadian metal, canadian rock, nu metal, post-grunge"
No Me Doy Por Vencido,4lerOTNr2tFWJCAmmhymhi,"latin pop, puerto rican pop"
Midnight Train To Memphis,6tInq1Sn2eehdsQGA9Aafh,"contemporary country, outlaw country"
Almas Gemelas,2C2AkoaM0KvKuZ2OTTMmNp,"banda, duranguense, grupera, musica mexicana, norteno"
Gimme! Gimme! Gimme! (A Man After Midnight) - From 'Mamma Mia!' Original Motion Picture Soundtrack,7lkeI7MsLOZ5gyh9ejaf3W,hollywood
Country Boy,1UlwFwRrb4Kth3TwnjBAJV,modern country pop
¿Qué Tengo Que Hacer?,0Xfo7PfltbOrAiBs0eSCTH,"latin hip hop, reggaeton, trap latino, urbano latino"
Where the Boat Leaves From,3jzHdyJ5G5X9GhqVhXZuVq,"contemporary country, country, country road, modern country rock"
