Song Name,Song ID,Genres,Year
I Won't Back Down,7gSQv1OHpkIoAdUiRLdmI6,"album rock, classic rock, hard rock, heartland rock, mellow gold, rock, singer-songwriter, soft rock",2000
The Hollow,4XDBEoD6QFnzDY5oMmNVXN,"alternative metal, alternative rock, nu metal, rock, supergroup",2000
Playground Love,052z2UsE2wPrHsBJ9tly0g,"ambient pop, downtempo, electronica, indietronica, trip hop",2000
Whoa!,7pdF27mSDuPWhppnHAmWHa,"emo rap, miami hip hop",2000
I Wish,35SbrfbaSpGUBX7e5BPega,colombian pop,2000
Wonderful,6zC0mpGYwbNTpk9SKwh08f,"album rock, blues rock, classic rock, electric blues, mellow gold, rock, singer-songwriter, soft rock",2000
Criminal,6Za3190Sbw39BBC77WSS1C,"latin pop, rap latina, reggaeton, urbano latino",2000
Separated,5S0cvScXb33JVpjTiY9Ivi,"contemporary r&b, r&b, urban contemporary",2000
Vegeta,74yM27tz2XeITl03hqROUV,,2000
Hello,62PaSfnXSMyLshYJrlTuL3,"british soul, pop, pop soul, uk pop",2000
Green Eyes,2pFXIqKAXMtG0nnmKUAB9J,"permanent wave, pop",2000
Enséñame A Olvidarte,2Ku6P1U8QkOQcLEXTRxygX,"banda, musica mexicana, norteno, tejano",2000
Bag Lady,7BgUcOjSOlKJXASLgJ6bx1,"afrofuturism, alternative r&b, neo soul, r&b, soul",2000
I'm Back,3xVtc7PB4V3AqAfq4Iahli,"detroit hip hop, hip hop, rap",2000
Porridge,1aHaTMzj8TmpRNnbRMwjxb,,2000
Shake Ya Ass (feat. Pharrell Williams),1jRzdY7oUBOhrylNtiMtBD,"crunk, dirty south rap, gangster rap, new orleans rap",2000
Day Tripper - Remastered 2015,29b2b96jozyD9GPCkOrVLs,"beatlesque, british invasion, classic rock, merseybeat, psychedelic rock, rock",2000
No Strings Attached,6wOlzyu9hqu4Tjk0kPNv6e,"boy band, dance pop, pop",2000
When You Say Nothing At All,6HveTIMynTMzTc5L0TcS20,progressive bluegrass,2000
Girls Dem Sugar,3j8EEMm9kbPLqByuaHmUmQ,"dancehall, jamaican dancehall, reggae fusion, soca",2000
Batter Up,1LnEW2Dx4pFZ4yZ4dXFY4f,"dance pop, gangster rap, hip hop, pop rap, rap, st louis rap, urban contemporary",2000
Deadly Combination (feat. 2Pac),7flXreohxgJdOnh6Kc4bx0,"east coast hip hop, hardcore hip hop, harlem hip hop",2000
Let's Get Married,18CODOzJ5DWzWh6kAeKiSC,"atl hip hop, contemporary r&b, hip pop, r&b, urban contemporary",2000
Hip-Hop,1SyQ6t9RdRBK0QUCS6a797,"east coast hip hop, hip hop, new jersey rap",2000
Girls & Boys,65mxB9IWpmVo4qUjdGSxRB,"alternative metal, modern rock, neon pop punk, pop punk, pop rock, post-grunge",2000
Gripa Colombiana,33Kxt0fCaltxIuIOzM7hfs,"banda, corrido, musica bajacaliforniana, musica mexicana, norteno",2000
I'll Fly Away,4rJtUMlnhJzlzlnxyoc3tb,"alternative country, canadian singer-songwriter, folk, melancholia, nashville singer-songwriter, new americana, progressive bluegrass, singer-songwriter",2000
Again,3ESSGgWzRf1xvP7G5hHMhB,"new jersey rap, pop rap, rap, southern hip hop, trap",2000
Somebody That I Used To Know,4wCmqSrbyCgxEXROQE6vtV,australian pop,2000
Get Off (You Can Eat a Dick),6tVqTzprCpw19k5pVKWP3v,"alternative metal, canadian metal, industrial metal, nu metal",2000
