Song Name,Song ID,Genres,Main Genres
Sirens,7LSpFCvRZZot2AlmkUzy9k,"['hip hop', 'rap', 'slap house']",['Hip hop Music']
Maybe Tomorrow,6SXy02aTZU3ysoGUixYCz0,"['britpop', 'modern rock', 'welsh rock']","['Pop Music', 'Rock Music']"
The Separation of Church and Skate,1NVjbk3Q06lEvAPUlTauzr,"['punk', 'ska', 'skate punk', 'socal pop punk']",['Pop Music']
El Rengo Del Gallo Giro,7vUdpsAP66ZPZxuJJbVzVo,"['musica mexicana', 'norteno', 'ranchera']",[]
Sweet Home Alabama - Edit,72FTNsVwlDXMgxyEnmjwM0,"['album rock', 'classic rock', 'hard rock', 'rock', 'southern rock']",['Rock Music']
Mi Niña Cambió,3ORQsL0g4APGsXoqD5tkpm,"['bachata', 'bachata dominicana', 'latin hip hop', 'latin pop', 'tropical', 'urbano latino']","['Hip hop Music', 'Pop Music']"
Heat,3USxtqRwSYz57Ewm6wWRMp,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']","['Pop Music', 'Rock Music']"
Deliverance,70RMVzexrIvYJiFEnuGymb,"['atl hip hop', 'country rap', 'dirty south rap', 'southern hip hop']","['Hip hop Music', 'Country Music']"
The Wheels on the Bus Go Round and Round,79K0jW3jcIXcw5WZnhDJWO,"[""children's music""]",[]
Oye,5EJ2THuhAapEIeQOtXUQ0x,"['latin arena pop', 'latin pop', 'latin rock', 'mexican pop', 'mexican rock', 'rock en espanol']","['Pop Music', 'Rock Music']"
Me Against the Music - LP Version / Video Mix,7mS8RbJji2UZAaguRGsOCH,"['dance pop', 'pop']",['Pop Music']
Heaven,1HXy5I3HTWq8OvxCn0z7G7,"['black americana', 'contemporary country', 'country', 'country road']",['Country Music']
El Padre De Todos,5GGDg9pSjL56edWEhwYJbz,"['musica mexicana', 'norteno']",[]
Anxiety,6Ve9MNsl8OFg6rHd227bYh,"['houston rap', 'pop', 'r&b', 'rap', 'trap queen']",['Pop Music']
Devil's Right Hand,3NGzaY9pJjoMvP4gnnajGF,"['arkansas country', 'outlaw country', 'rock']","['Country Music', 'Rock Music']"
Amor En Silencio,20OlHp8vxAnROiVvAFsbmh,"['grupera', 'gruperas inmortales', 'musica mexicana', 'norteno']",[]
Fastlane,3dX0c7tK7bnaUMhZlr6sIC,['alternative hip hop'],['Hip hop Music']
One Big Holiday,5boh3WTOJ1aOF6uUEF4HPh,"['chamber pop', 'indie rock', 'jam band', 'louisville indie', 'melancholia', 'roots rock', 'stomp and holler']","['Pop Music', 'Rock Music']"
Shakedown,1lNRVjK8MukRZpeurYssIx,"['cosmic american', 'jam band', 'psychedelic rock']",['Rock Music']
Moriré Esperando,6hquFLJjoBbLhriXnswk11,"['cumbia sonorense', 'musica sonorense', 'tecnobanda', 'tejano']",[]
Dancing Through Sunday,4O5GKVbnQ8U9BxYWu0hIug,"['alternative metal', 'nu metal', 'pop punk', 'post-grunge', 'punk', 'screamo']",['Pop Music']
Y Qué,3IeL2BjoIaLICr6QDXxlcj,"['corridos tumbados', 'sad sierreno']",[]
Meet Me in the Bathroom,08l9WKDuRyGeStQ9ojTlFh,"['alternative rock', 'garage rock', 'modern rock', 'permanent wave', 'rock']",['Rock Music']
